biocPkgName	organism	species	manufacturer	chipName	manufacturerUrl	biocViews
hgu95acdf	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95a	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95aprobe	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95av2cdf	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95av2	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95av2probe	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95bcdf	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95b	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95bprobe	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95ccdf	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95c	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95cprobe	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95dcdf	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95d	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95dprobe	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95ecdf	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95e	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hgu95eprobe	Homo sapiens	Human 	Affymetrix	Human Genome U95 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95	AnnotationData
hguatlas13k	Homo sapiens	Human 	Clontech	BD Atlas Long Oligos Human 13K	http://orders.clontech.com/clontech/atlas/genelists/index.shtml	AnnotationData
hgubeta7	Homo sapiens	Human 				AnnotationData
hguDKFZ31	Homo sapiens	Human 				AnnotationData 
hgug4100a	Homo sapiens	Human 	Agilent	Human 1 cDNA Microarray Kit	http://www.chem.agilent.com/scripts/literaturepdf.asp?iWHID=31317	AnnotationData
hgug4101a	Homo sapiens	Human 	Agilent	Human 2 cDNA Microarry Kit	http://www.chem.agilent.com/scripts/literaturepdf.asp?iWHID=31316	AnnotationData
