biocPkgName	organism	species	manufacturer	chipName	manufacturerUrl	biocViews
omyhomology	Oncorhynchus mykiss	Rainbow trout				AnnotationData
osahomology	Oryza sativa	Rice				AnnotationData
paeg1acdf	Pseudomonas aeruginosa	P. aeruginosa	Affymetrix	P. aeruginosa Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=paeruginosa	AnnotationData
paeg1aprobe	Pseudomonas aeruginosa	P. aeruginosa	Affymetrix	P. aeruginosa Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=paeruginosa	AnnotationData
pfahomology	Plasmodium falciparum	Malaria parasite P. falciparum				AnnotationData
plasmodiumanophelescdf	Plasmodium falciparum/Anopheles gambiae	Plasmodium/Anopheles	Affymetrix	Plasmodium/Anopheles Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=plasmodium	AnnotationData
plasmodiumanophelesprobe	Plasmodium falciparum/Anopheles gambiae	Plasmodium/Anopheles	Affymetrix	Plasmodium/Anopheles Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=plasmodium	AnnotationData
porcinecdf	Sus scrofa	Porcine 	Affymetrix	Porcine Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=porcine	AnnotationData
porcineprobe	Sus scrofa	Porcine 	Affymetrix	Porcine Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=porcine	AnnotationData
prt440acdf	Homo sapiens	Human 	Affymetrix	HIV PRT 440		AnnotationData
prt440scdf	Homo sapiens	Human 	Affymetrix	HIV PRT 440		AnnotationData
rae230acdf	Rattus norvegicus	Rat	Affymetrix	Rat Expression Set 230	http://www.affymetrix.com/support/technical/byproduct.affx?product=rae230	AnnotationData
rae230a	Rattus norvegicus	Rat	Affymetrix	Rat Expression Set 230	http://www.affymetrix.com/support/technical/byproduct.affx?product=rae230	AnnotationData
rae230aprobe	Rattus norvegicus	Rat	Affymetrix	Rat Expression Set 230	http://www.affymetrix.com/support/technical/byproduct.affx?product=rae230	AnnotationData
rae230bcdf	Rattus norvegicus	Rat	Affymetrix	Rat Expression Set 230	http://www.affymetrix.com/support/technical/byproduct.affx?product=rae230	AnnotationData
rae230b	Rattus norvegicus	Rat	Affymetrix	Rat Expression Set 230	http://www.affymetrix.com/support/technical/byproduct.affx?product=rae230	AnnotationData
rae230bprobe	Rattus norvegicus	Rat	Affymetrix	Rat Expression Set 230	http://www.affymetrix.com/support/technical/byproduct.affx?product=rae230	AnnotationData
rat2302cdf	Rattus norvegicus	Rat	Affymetrix	Rat Genome 230 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rat230-20	AnnotationData
rat2302	Rattus norvegicus	Rat	Affymetrix	Rat Genome 230 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rat230-20	AnnotationData
rat2302probe	Rattus norvegicus	Rat	Affymetrix	Rat Genome 230 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rat230-20	AnnotationData
ratCHRLOC	Rattus norvegicus	Rat				FunctionalAnnotation
ratLLMappings	Rattus norvegicus	Rat				AnnotationData
rgu34acdf	Rattus norvegicus	Rat	Affymetrix	Rat Genome U34 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34	AnnotationData
rgu34a	Rattus norvegicus	Rat	Affymetrix	Rat Genome U34 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34	AnnotationData
rgu34aprobe	Rattus norvegicus	Rat	Affymetrix	Rat Genome U34 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34	AnnotationData
rgu34bcdf	Rattus norvegicus	Rat	Affymetrix	Rat Genome U34 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34	AnnotationData
rgu34b	Rattus norvegicus	Rat	Affymetrix	Rat Genome U34 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34	AnnotationData
rgu34bprobe	Rattus norvegicus	Rat	Affymetrix	Rat Genome U34 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34	AnnotationData
rgu34ccdf	Rattus norvegicus	Rat	Affymetrix	Rat Genome U34 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34	AnnotationData
rgu34c	Rattus norvegicus	Rat	Affymetrix	Rat Genome U34 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34	AnnotationData
rgu34cprobe	Rattus norvegicus	Rat	Affymetrix	Rat Genome U34 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34	AnnotationData
rguatlas4k	Rattus norvegicus	Rat	Clontech	BD Atlas Long Oligos Rat 4K	http://orders.clontech.com/clontech/atlas/genelists/index.shtml	AnnotationData
rgug4105a	Rattus norvegicus	Rat	Agilent			AnnotationData
rgug4130a	Rattus norvegicus	Rat	Agilent	Rat	http://www.chem.agilent.com/scripts/generic.asp?lpage=5175&indcol=N&prodcol=Y	AnnotationData
rgug4131a	Rattus norvegicus	Rat	Agilent	"Rat Genome,  Whole"	http://www.chem.agilent.com/scripts/generic.asp?lpage=5175&indcol=N&prodcol=Y	AnnotationData
